GeoUID,Region Name,OfficialLanguage,AboriginalLanguages,NonAboriginalLanguages
59150550,Vancouver,290,0,295
59151142,Richmond,205,0,265
59150567,Vancouver,395,0,135
59150925,Vancouver,385,0,100
59151150,Richmond,195,0,225
59151971,Surrey,205,0,425
59150653,Vancouver,405,0,40
59150634,Vancouver,475,0,25
59151789,Maple Ridge,285,0,10
59151765,North Vancouver,485,0,65
59150041,West Vancouver,310,0,120
59152840,New Westminster,360,0,15
59152841,New Westminster,400,0,80
59152851,New Westminster,405,0,85
59152852,New Westminster,370,0,150
59152850,New Westminster,485,0,80
59150075,North Vancouver,350,0,45
59152854,New Westminster,450,0,180
59150393,Vancouver,260,0,270
59150372,Vancouver,445,0,215
59150447,Vancouver,230,0,255
59150521,Vancouver,290,0,250
59150363,Vancouver,395,0,55
59150737,Vancouver,365,0,75
59150557,Vancouver,285,0,275
59150744,Vancouver,375,0,60
59150647,Vancouver,500,0,50
59150758,Vancouver,205,0,280
59150745,Vancouver,465,0,90
59150924,Vancouver,450,0,130
59150872,Vancouver,405,0,5
59151051,Richmond,380,0,250
59151419,Vancouver,260,0,160
59151433,Vancouver,340,0,110
59151942,Surrey,260,0,255
59153152,Vancouver,570,0,215
59152679,Surrey,620,0,40
59153579,Vancouver,350,0,90
59152403,Langley,285,0,50
59152286,Surrey,710,0,590
59150184,North Vancouver,320,0,115
59152609,Surrey,490,0,70
59152021,Surrey,440,0,240
59153809,Vancouver,335,0,405
59153923,Surrey,445,0,275
59153581,Vancouver,350,0,90
59150474,Vancouver,235,0,305
59152080,Surrey,105,0,320
59153077,Vancouver,225,0,185
59153462,West Vancouver,x,x,x
59153521,Surrey,910,0,455
59151343,Burnaby,630,0,260
59150028,West Vancouver,375,0,55
59153908,Surrey,355,0,95
59150043,West Vancouver,425,0,80
59153891,Coquitlam,245,0,265
59150570,Vancouver,300,0,165
59151989,Surrey,225,0,105
59150703,Vancouver,285,0,140
59150714,Vancouver,215,0,20
59150227,North Vancouver,485,0,20
59150518,Vancouver,200,0,175
59150527,Vancouver,240,0,240
59150122,North Vancouver,385,0,100
59150291,Burnaby,315,0,155
59150956,Vancouver,355,0,195
